11000;EBICS_DOWNLOAD_POSTPROCESS_DONE;The positive acknowledgment of the EBICS response that is sent to the client from the server.
11001;EBICS_DOWNLOAD_POSTPROCESS_SKIPPED;The negative acknowledgment of the EBICS response that is sent to the client from the server.
11101;EBICS_TX_SEGMENT_NUMBER_UNDERRUN;The server terminates the transaction if the client, in an upload transaction, has specified a very high (when compared to the number specified in the initialization phase) number of segments that are to be transmitted to the server.
31001;EBICS_ORDER_PARAMS_IGNORED;The supplied order parameters that are not supported by the bank are ignored.
61001;EBICS_AUTHENTICATION_FAILED;The bank is unable to verify the identification and authentication signature of an EBICS request.
61002;EBICS_INVALID_REQUEST;The received EBICS XML message does not conform to the EBICS specifications.
61099;EBICS_INTERNAL_ERROR;An internal error occurred when processing an EBICS request.
61101;EBICS_TX_RECOVERY_SYNC;If the bank supports transaction recovery, the bank verifies whether an upload transaction can be recovered. The server synchronizes with the client to recover the transaction.
91002;EBICS_INVALID_USER_OR_USER_STATE;Error that results from an invalid combination of user ID or an invalid subscriber state.
91003;EBICS_USER_UNKNOWN;The identification and authentication signature of the technical user is successfully verified but the non-technical subscriber is not known to the bank.
91004;EBICS_INVALID_USER_STATE;The identification and authentication signature of the technical user is successfully verified and the non-technical subscriber is known to the bank, but the user is not in a ’Ready’ state.
91005;EBICS_INVALID_ORDER_TYPE;Upon verification, the bank finds that the order type specified in invalid.
91006;EBICS_UNSUPPORTED_ORDER_TYPE;Upon verification, the bank finds that the order type specified in valid but not supported by the bank.
91007;EBICS_DISTRIBUTED_SIGNATURE_AUTHORISATION_FAILED;Subscriber possesses no authorization of signature for the referenced order in the VEU administration.
91008;EBICS_BANK_PUBKEY_UPDATE_REQUIRED;The bank verifies the hash value sent by the user. If the hash value does not match the current public keys, the bank terminates the transaction initialization.
91009;EBICS_SEGMENT_SIZE_EXCEEDED;If the size of the transmitted order data segment exceeds 1 MB, the transaction is terminated.
91010;EBICS_INVALID_XML;The XML schema does not conform to the EBICS specifications.
91011;EBICS_INVALID_HOST_ID;The transmitted host ID is not known to the bank.
91101;EBICS_TX_UNKNOWN_TXID;The supplied transaction ID is invalid.
91102;EBICS_TX_ABORT;If the bank supports transaction recovery, the bank verifies whether an upload transaction can be recovered. If the transaction cannot be recovered, the bank terminates the transaction.
91103;EBICS_TX_MESSAGE_REPLAY;To avoid replay, the bank compares the received Nonce with the list of nonce values that were received previously and stored locally. If the nonce received is greater than the tolerance period specified by the bank, the response EBICS_TX_MESSAGE_REPLAY is returned.
91104;EBICS_TX_SEGMENT_NUMBER_EXCEEDED;The serial number of the transmitted order data segment must be less than or equal to the total number of data segments that are to be transmitted. The transaction is terminated if the number of transmitted order data segments exceeds the total number of data segments.
91112;EBICS_INVALID_ORDER_PARAMS;In an HVT request, the subscriber specifies the order for which they want to retrieve the VEU transaction details. The HVT request also specifies an offset position in the original order file that marks the starting point of the transaction details to be transmitted. The order details after the specified offset position are returned. If the value specified for offset is higher than the total number of order details, the error EBICS_INVALID_ORDER_PARAMS is returned.
91113;EBICS_INVALID_REQUEST_CONTENT;The EBICS request does not conform to the XML schema definition specified for individual requests.
91117;EBICS_MAX_ORDER_DATA_SIZE_EXCEEDED;The bank does not support the requested order size.
91118;EBICS_MAX_SEGMENTS_EXCEEDED;The submitted number of segments for upload is very high.
91119;EBICS_MAX_TRANSACTIONS_EXCEEDED;The maximum number of parallel transactions per customer is exceeded.
91120;EBICS_PARTNER_ID_MISMATCH;The partner ID of the electronic signature file differs from the partner ID of the submitter.
91121;EBICS_INCOMPATIBLE_ORDER_ATTRIBUTE;The specified order attribute is not compatible with the order in the bank system. If the bank has a file with the attribute DZHNN or other electronic signature files (for example, with the attribute UZHNN) for the same order, then the use of the order attributes DZHNN is not allowed. Also, if the bank already has the same order and the order was transmitted with the order attributes DZHNN, then again the use of the order attributes DZHNN is not allowed.
91219;EBICS_CERTIFICATES_VALIDATION_ERROR;The server is unable to match the certificate with the previously declared information automatically.
11301;EBICS_NO_ONLINE_CHECKS;The bank does not principally support preliminary verification of orders but the EBICS request contains data for preliminary verification of the order.
91001;EBICS_DOWNLOAD_SIGNED_ONLY;The bank system only supports bank-technically signed download order data for the order request. If the subscriber sets the order attributes to DZHNN and requests the download data without the electronic signature of the bank, the transaction initialization is terminated.
90003;EBICS_AUTHORISATION_ORDER_TYPE_FAILED;The subscriber is not entitled to submit orders of the selected order type. If the authorization is missing when the bank verifies whether the subscriber has a bank-technical authorization of signature for the order, the transaction is cancelled.
90004;EBICS_INVALID_ORDER_DATA_FORMAT;The order data does not correspond with the designated format.
90005;EBICS_NO_DOWNLOAD_DATA_AVAILABLE;If the requested download data is not available, the EBICS transaction is terminated.
90006;EBICS_UNSUPPORTED_REQUEST_FOR_ORDER_INSTANCE;In the case of some business transactions, it is not possible to retrieve detailed information of the order data.
91105;EBICS_RECOVERY_NOT_SUPPORTED;If the bank does not support transaction recovery, the upload transaction is terminated.
91111;EBICS_INVALID_SIGNATURE_FILE_FORMAT;The submitted electronic signature file does not conform to the defined format.
91114;EBICS_ORDERID_UNKNOWN;Upon verification, the bank finds that the order is not located in the VEU processing system.
91115;EBICS_ORDERID_ALREADY_EXISTS;The submitted order number already exists.
91116;EBICS_PROCESSING_ERROR;When processing an EBICS request, other business-related errors occurred.
91201;EBICS_KEYMGMT_UNSUPPORTED_VERSION_SIGNATURE;When processing an INI request, the order data contains an inadmissible version of the bank-technical signature process.
91202;EBICS_KEYMGMT_UNSUPPORTED_VERSION_AUTHENTICATION;When processing an HIA request, the order data contains an inadmissible version of the identification and authentication signature process.
91203;EBICS_KEYMGMT_UNSUPPORTED_VERSION_ENCRYPTION;When processing an HIA request, the order data contains an inadmissible version of the encryption process.
91204;EBICS_KEYMGMT_KEYLENGTH_ERROR_SIGNATURE;When processing an INI request, the order data contains an bank-technical key of inadmissible length.
91205;EBICS_KEYMGMT_KEYLENGTH_ERROR_AUTHENTICATION;When processing an HIA request, the order data contains an identification and authentication key of inadmissible length.
